"site","plot","fraction","percent_n","percent_c","POM_first","MAOM_first","subsample_weight","POM+MAOM","factor","fraction_weight_g","crop","treatment"
"agronomy_farm",11,"MAOM",0.174,1.9651,2.18,8.71,9.99,10.89,0.917355371900826,7.9901652892562,"S","B"
"agronomy_farm",11,"POM",0.3606,7.4617,2.18,8.71,9.99,10.89,0.917355371900826,1.9998347107438,"S","B"
"agronomy_farm",12,"MAOM",0.324,2.7635,2.97,7.26,10,10.23,0.977517106549365,7.09677419354839,"S","C"
"agronomy_farm",12,"POM",0.7367,9.9882,2.97,7.26,10,10.23,0.977517106549365,2.90322580645161,"S","C"
"agronomy_farm",13,"MAOM",0.1537,1.4583,1.97,8.87,9.98,10.84,0.920664206642066,8.16629151291513,"S","C"
"agronomy_farm",13,"POM",0.3007,4.3947,1.97,8.87,9.98,10.84,0.920664206642066,1.81370848708487,"S","C"
"agronomy_farm",14,"MAOM",0.1543,1.4161,1.76,8.26,10,10.02,0.998003992015968,8.2435129740519,"S","C"
"agronomy_farm",14,"POM",0.2602,3.5989,1.76,8.26,10,10.02,0.998003992015968,1.7564870259481,"S","C"
"agronomy_farm",16,"MAOM",0.159,1.6321,2.13,7.26,10.01,9.39,1.06602768903088,7.73936102236422,"W","B"
"agronomy_farm",16,"POM",0.1971,4.2317,2.13,7.26,10.01,9.39,1.06602768903088,2.27063897763578,"W","B"
"agronomy_farm",17,"MAOM",0.1591,1.5259,2.05,7.95,10,10,1,7.95,"W","C"
"agronomy_farm",17,"POM",0.1987,2.9082,2.05,7.95,10,10,1,2.05,"W","C"
"agronomy_farm",18,"MAOM",0.2029,1.7892,2.25,7.86,9.99,10.11,0.98813056379822,7.76670623145401,"W","C"
"agronomy_farm",18,"POM",0.3268,4.4008,2.25,7.86,9.99,10.11,0.98813056379822,2.22329376854599,"W","C"
"agronomy_farm",19,"MAOM",0.1674,1.533,2.71,7.85,10.01,10.56,0.947916666666667,7.44114583333333,"S","C"
"agronomy_farm",19,"POM",0.1965,2.7972,2.71,7.85,10.01,10.56,0.947916666666667,2.56885416666667,"S","C"
"agronomy_farm",20,"MAOM",0.1898,1.7126,2.5,7.5,10.01,10,1.001,7.5075,"S","C"
"agronomy_farm",20,"POM",0.25,3.5317,2.5,7.5,10.01,10,1.001,2.5025,"S","C"
"agronomy_farm",21,"MAOM",0.2055,2.2712,2.85,6.63,10.02,9.48,1.05696202531646,7.0076582278481,"S","B"
"agronomy_farm",21,"POM",0.2733,6.3238,2.85,6.63,10.02,9.48,1.05696202531646,3.0123417721519,"S","B"
"agronomy_farm",22,"MAOM",0.1739,1.6372,2.08,8.01,10.01,10.09,0.99207135777998,7.94649157581764,"W","C"
"agronomy_farm",22,"POM",0.228,3.4242,2.08,8.01,10.01,10.09,0.99207135777998,2.06350842418236,"W","C"
"agronomy_farm",23,"MAOM",0.1636,1.9286,2.18,7.58,10,9.76,1.02459016393443,7.76639344262295,"W","B"
"agronomy_farm",23,"POM",0.2229,6.6537,2.18,7.58,10,9.76,1.02459016393443,2.23360655737705,"W","B"
"agronomy_farm",24,"MAOM",0.2177,1.9481,2.4,7.83,9.99,10.23,0.976539589442815,7.64630498533724,"W","C"
"agronomy_farm",3,"MAOM",0.3106,3.161,2.75,7.87,9.98,10.62,0.939736346516007,7.39572504708098,"W","C"
"agronomy_farm",3,"POM",0.6017,8.3509,2.75,7.87,9.98,10.62,0.939736346516007,2.58427495291902,"W","C"
"agronomy_farm",5,"MAOM",0.1594,1.7204,1.66,8.25,10.05,9.91,1.01412714429869,8.36654894046418,"S","C"
"agronomy_farm",5,"POM",0.2331,3.6404,1.66,8.25,10.05,9.91,1.01412714429869,1.68345105953582,"S","C"
"agronomy_farm",6,"MAOM",0.2408,2.3214,2.84,7.87,9.99,10.71,0.932773109243697,7.3409243697479,"S","C"
"agronomy_farm",6,"POM",0.5302,7.1935,2.84,7.87,9.99,10.71,0.932773109243697,2.6490756302521,"S","C"
"agronomy_farm",7,"MAOM",0.1334,1.6197,1.91,7.55,9.98,9.46,1.05496828752643,7.96501057082453,"W","B"
"agronomy_farm",7,"POM",0.2339,6.6248,1.91,7.55,9.98,9.46,1.05496828752643,2.01498942917548,"W","B"
"agronomy_farm",8,"MAOM",0.1839,1.6281,1.75,8.2,10,9.95,1.00502512562814,8.24120603015075,"W","C"
"agronomy_farm",8,"POM",0.3656,4.8559,1.75,8.2,10,9.95,1.00502512562814,1.75879396984925,"W","C"
"agronomy_farm",9,"MAOM",0.2932,2.8067,2.73,7.79,10.01,10.52,0.951520912547529,7.41234790874525,"W","C"
"agronomy_farm",9,"POM",0.5035,6.8682,2.73,7.79,10.01,10.52,0.951520912547529,2.59765209125475,"W","C"
"allstar_mine_1",1,"MAOM",0.3292,3.0429,3.63,6.34,9.98,9.97,1.00100300902708,6.3463590772317,"W","C"
"allstar_mine_1",1,"POM",0.6173,9.9602,3.63,6.34,9.98,9.97,1.00100300902708,3.63364092276831,"W","C"
"allstar_mine_1",11,"MAOM",0.3669,3.3823,3.41,7.23,9.98,10.64,0.93796992481203,6.78152255639098,"S","C"
"allstar_mine_1",11,"POM",0.4961,6.548,3.41,7.23,9.98,10.64,0.93796992481203,3.19847744360902,"S","C"
"allstar_mine_1",12,"MAOM",0.3097,3.5143,3.55,6.67,10.02,10.22,0.980430528375734,6.53947162426615,"S","B"
"allstar_mine_1",12,"POM",0.4863,12.9318,3.55,6.67,10.02,10.22,0.980430528375734,3.48052837573386,"S","B"
"allstar_mine_1",13,"MAOM",0.146,1.4668,3.26,6.33,10.03,9.59,1.0458811261731,6.6204275286757,"W","B"
"allstar_mine_1",13,"POM",0.2121,4.8683,3.26,6.33,10.03,9.59,1.0458811261731,3.4095724713243,"W","B"
"allstar_mine_1",15,"MAOM",0.1788,1.9529,3.01,7.48,9.98,10.49,0.951382268827455,7.11633937082936,"W","C"
"allstar_mine_1",15,"POM",0.2811,5.754,3.01,7.48,9.98,10.49,0.951382268827455,2.86366062917064,"W","C"
"allstar_mine_1",16,"MAOM",0.2245,2.2733,3.17,7.43,9.99,10.6,0.942452830188679,7.00242452830189,"S","C"
"allstar_mine_1",16,"POM",0.3005,5.4014,3.17,7.43,9.99,10.6,0.942452830188679,2.98757547169811,"S","C"
"allstar_mine_1",17,"MAOM",0.1664,2.028,3.06,6.75,10.02,9.81,1.02140672782875,6.89449541284404,"S","B"
"allstar_mine_1",17,"POM",0.2188,4.7685,3.06,6.75,10.02,9.81,1.02140672782875,3.12550458715596,"S","B"
"allstar_mine_1",18,"MAOM",0.274,3.3155,2.82,7.55,9.98,10.37,0.962391513982642,7.26605593056895,"S","C"
"allstar_mine_1",18,"POM",0.4606,10.8257,2.82,7.55,9.98,10.37,0.962391513982642,2.71394406943105,"S","C"
"allstar_mine_1",19,"MAOM",0.2567,2.9375,3.5,7.03,9.98,10.53,0.947768281101614,6.66281101614435,"W","B"
"allstar_mine_1",19,"POM",0.3151,7.5099,3.5,7.03,9.98,10.53,0.947768281101614,3.31718898385565,"W","B"
"allstar_mine_1",2,"MAOM",0.2214,2.0731,2.76,7.2,9.99,9.96,1.00301204819277,7.22168674698795,"W","C"
"allstar_mine_1",2,"POM",0.3581,5.5344,2.76,7.2,9.99,9.96,1.00301204819277,2.76831325301205,"W","C"
"allstar_mine_1",20,"MAOM",0.1794,1.9469,3.46,6.79,10.05,10.25,0.980487804878049,6.65751219512195,"W","C"
"allstar_mine_1",20,"POM",0.2646,6.7208,3.46,6.79,10.05,10.25,0.980487804878049,3.39248780487805,"W","C"
"allstar_mine_1",21,"MAOM",0.2679,2.6315,3.26,6.74,10.02,10,1.002,6.75348,"W","C"
"allstar_mine_1",21,"POM",0.3397,4.8775,3.26,6.74,10.02,10,1.002,3.26652,"W","C"
"allstar_mine_1",24,"MAOM",0.3462,3.3964,4.23,6.71,9.99,10.94,0.913162705667276,6.12732175502742,"S","C"
"allstar_mine_1",24,"POM",0.488,6.8382,4.23,6.71,9.99,10.94,0.913162705667276,3.86267824497258,"S","C"
"allstar_mine_1",3,"MAOM",0.3522,4.171,3.08,6.83,10.02,9.91,1.01109989909183,6.90581231079717,"W","B"
"allstar_mine_1",3,"POM",0.6227,13.6048,3.08,6.83,10.02,9.91,1.01109989909183,3.11418768920282,"W","B"
"allstar_mine_1",4,"MAOM",0.2892,3.0433,3.67,6.43,9.99,10.1,0.989108910891089,6.3599702970297,"S","C"
"allstar_mine_1",4,"POM",0.5026,8.2436,3.67,6.43,9.99,10.1,0.989108910891089,3.6300297029703,"S","C"
"allstar_mine_1",5,"MAOM",0.3911,4.5293,3.43,6.84,9.99,10.27,0.972736124634859,6.65351509250243,"S","B"
"allstar_mine_1",5,"POM",0.4948,10.892,3.43,6.84,9.99,10.27,0.972736124634859,3.33648490749757,"S","B"
"allstar_mine_1",6,"MAOM",0.3126,3.0241,3.23,6.57,10,9.8,1.02040816326531,6.70408163265306,"S","C"
"allstar_mine_1",6,"POM",0.5836,9.5623,3.23,6.57,10,9.8,1.02040816326531,3.29591836734694,"S","C"
"allstar_mine_1",7,"MAOM",0.1299,1.405,3.58,7.15,9.98,10.73,0.930102516309413,6.6502329916123,"W","B"
"allstar_mine_1",7,"POM",0.2131,4.1024,3.58,7.15,9.98,10.73,0.930102516309413,3.3297670083877,"W","B"
"allstar_mine_1",8,"MAOM",0.2602,2.4653,3.29,6.76,9.98,10.05,0.993034825870647,6.71291542288557,"W","C"
"allstar_mine_1",8,"POM",0.4553,7.2478,3.29,6.76,9.98,10.05,0.993034825870647,3.26708457711443,"W","C"
"allstar_mine_1",9,"MAOM",0.2965,2.834,3.5,6.9,9.98,10.4,0.959615384615385,6.62134615384615,"W","C"
